24, Local-gov, 69640, Some-college, 10, Never-married, Protective-serv, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
27, Private, 297457, HS-grad, 9, Never-married, Adm-clerical, Own-child, Black, Male, 0, 0, 40, United-States, <=50K
18, Private, 279593, 11th, 7, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 2, United-States, <=50K
20, Private, 211968, Some-college, 10, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 15, United-States, <=50K
18, Private, 194561, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 12, United-States, <=50K
23, Private, 140414, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
43, State-gov, 24763, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1887, 45, United-States, >50K
38, State-gov, 462832, Some-college, 10, Married-civ-spouse, Exec-managerial, Wife, Black, Female, 0, 0, 40, Trinadad&Tobago, <=50K
36, Private, 48972, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
28, Self-emp-not-inc, 35032, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
47, Private, 228583, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, ?, <=50K
51, Private, 392668, Doctorate, 16, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 84, United-States, >50K
35, Private, 108140, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
38, State-gov, 112497, Bachelors, 13, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 60, United-States, <=50K
47, Federal-gov, 142581, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, Black, Male, 0, 0, 40, United-States, >50K
26, Private, 147982, 11th, 7, Divorced, Craft-repair, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
31, State-gov, 440129, Some-college, 10, Divorced, Protective-serv, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
46, Private, 200734, Some-college, 10, Divorced, Adm-clerical, Unmarried, Black, Female, 0, 0, 35, Trinadad&Tobago, <=50K
49, Private, 31807, Some-college, 10, Never-married, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
19, Private, 166153, HS-grad, 9, Never-married, Sales, Own-child, White, Female, 0, 0, 30, United-States, <=50K
45, Self-emp-inc, 212954, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 50, United-States, <=50K
46, Private, 52291, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 7688, 0, 45, United-States, >50K
70, Self-emp-not-inc, 303588, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 20, United-States, <=50K
19, Private, 96176, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 20, United-States, <=50K
46, Private, 184632, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, <=50K
20, Private, 137618, Some-college, 10, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 35, United-States, <=50K
17, Private, 160029, 11th, 7, Never-married, Other-service, Other-relative, White, Female, 0, 0, 22, United-States, <=50K
43, Private, 178780, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 49, United-States, >50K
19, Private, 39756, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 15, United-States, <=50K
37, Private, 35309, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
51, Private, 117253, HS-grad, 9, Widowed, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
40, Local-gov, 303212, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
24, Private, 214542, Some-college, 10, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 60, Canada, <=50K
31, Private, 342019, Assoc-acdm, 12, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
59, Private, 126668, Assoc-voc, 11, Married-civ-spouse, Prof-specialty, Husband, White, Male, 5178, 0, 50, United-States, >50K
27, Private, 401508, HS-grad, 9, Never-married, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
40, Private, 25005, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 15024, 0, 99, United-States, >50K
30, Self-emp-not-inc, 85708, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
28, Private, 115677, Assoc-acdm, 12, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 32, United-States, <=50K
25, Private, 144259, HS-grad, 9, Never-married, Craft-repair, Own-child, Black, Male, 0, 0, 50, United-States, <=50K
22, Private, 197583, Bachelors, 13, Never-married, Sales, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K
21, State-gov, 142766, Some-college, 10, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 40, United-States, <=50K
67, ?, 132626, Some-college, 10, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 6, United-States, <=50K
35, Self-emp-inc, 185621, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 60, United-States, >50K
54, Local-gov, 29887, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 56, United-States, <=50K
36, Private, 117381, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
29, Private, 211482, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
32, Federal-gov, 90653, HS-grad, 9, Never-married, Exec-managerial, Unmarried, White, Female, 0, 1380, 40, United-States, <=50K
55, Private, 209535, HS-grad, 9, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
56, Federal-gov, 187873, Masters, 14, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
19, Private, 174732, Some-college, 10, Never-married, Other-service, Own-child, Black, Male, 0, 0, 25, United-States, <=50K
36, Private, 297847, HS-grad, 9, Never-married, Other-service, Not-in-family, Black, Female, 0, 2001, 40, United-States, <=50K
58, Private, 110213, HS-grad, 9, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
35, Private, 162601, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
44, Private, 108438, 10th, 6, Separated, Machine-op-inspct, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
40, Self-emp-inc, 132222, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
18, Private, 174394, HS-grad, 9, Never-married, Other-service, Own-child, White, Female, 0, 0, 20, United-States, <=50K
71, Self-emp-not-inc, 322789, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male, 0, 0, 35, United-States, <=50K
51, Federal-gov, 72436, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 57, United-States, >50K
27, ?, 60726, HS-grad, 9, Never-married, ?, Own-child, Black, Male, 0, 0, 40, United-States, <=50K
20, Private, 190273, 12th, 8, Never-married, Other-service, Own-child, White, Male, 0, 0, 35, United-States, <=50K
33, ?, 393376, 11th, 7, Never-married, ?, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
34, Private, 140571, Assoc-voc, 11, Divorced, Tech-support, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
28, Private, 584790, Assoc-voc, 11, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, >50K
23, Private, 197666, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 24, Greece, <=50K
36, Private, 245090, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 3137, 0, 50, El-Salvador, <=50K
42, Private, 192569, Prof-school, 15, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 39, United-States, >50K
31, Local-gov, 158291, Bachelors, 13, Never-married, Craft-repair, Not-in-family, White, Male, 8614, 0, 40, United-States, >50K
19, ?, 113915, HS-grad, 9, Never-married, ?, Own-child, Black, Male, 0, 0, 10, United-States, <=50K
38, Local-gov, 287658, Masters, 14, Divorced, Prof-specialty, Not-in-family, Black, Male, 0, 0, 40, Jamaica, <=50K
22, Private, 192455, HS-grad, 9, Never-married, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
36, Private, 317040, Assoc-voc, 11, Divorced, Adm-clerical, Unmarried, Black, Female, 0, 0, 54, United-States, <=50K
36, Private, 218689, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 1977, 50, United-States, >50K
17, Private, 116626, 11th, 7, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 1719, 18, United-States, <=50K
30, Federal-gov, 48458, Some-college, 10, Never-married, Adm-clerical, Own-child, Black, Female, 0, 0, 40, United-States, <=50K
35, Self-emp-not-inc, 241469, 9th, 5, Married-civ-spouse, Craft-repair, Husband, White, Male, 2635, 0, 30, United-States, <=50K
32, Private, 167990, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Male, 14084, 0, 40, United-States, >50K
42, Private, 261929, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7688, 0, 40, United-States, >50K
54, Private, 425804, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 45, United-States, >50K
36, Private, 33394, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 1887, 35, United-States, >50K
58, Private, 72812, 10th, 6, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
39, Private, 89040, Assoc-voc, 11, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
62, Local-gov, 164518, HS-grad, 9, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K
51, Private, 182740, HS-grad, 9, Divorced, Prof-specialty, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
52, Private, 361875, Some-college, 10, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K
25, Private, 197130, HS-grad, 9, Never-married, Sales, Own-child, White, Female, 0, 0, 30, United-States, <=50K
26, Private, 340335, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
26, Private, 293984, 10th, 6, Married-civ-spouse, Craft-repair, Own-child, Black, Male, 0, 0, 40, United-States, <=50K
59, State-gov, 261584, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, Black, Female, 0, 0, 40, Outlying-US(Guam-USVI-etc), <=50K
21, Private, 170302, HS-grad, 9, Never-married, Farming-fishing, Other-relative, White, Male, 0, 0, 50, United-States, <=50K
45, Private, 481987, Masters, 14, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 18, United-States, >50K
26, Private, 88449, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 36, United-States, <=50K
68, Self-emp-not-inc, 261897, 10th, 6, Widowed, Farming-fishing, Unmarried, White, Male, 0, 0, 20, United-States, <=50K
60, Private, 250552, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, >50K
65, Private, 88513, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 18, United-States, <=50K
41, Private, 168293, Masters, 14, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 45, United-States, <=50K
34, Private, 283921, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, <=50K
28, Private, 407043, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, Black, Male, 0, 0, 40, United-States, <=50K
40, Private, 63745, Assoc-voc, 11, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
57, Private, 49893, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
37, Private, 241962, 11th, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, <=50K
34, Private, 338416, 10th, 6, Divorced, Machine-op-inspct, Not-in-family, Black, Male, 0, 0, 60, United-States, <=50K
21, ?, 212888, 11th, 7, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 56, United-States, <=50K
57, Federal-gov, 310320, Bachelors, 13, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 48, United-States, >50K
55, Private, 359972, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1887, 40, United-States, >50K
51, Private, 64643, HS-grad, 9, Never-married, Farming-fishing, Not-in-family, White, Male, 0, 0, 60, ?, <=50K
56, Private, 125000, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, >50K
32, Private, 286675, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K
18, Private, 165532, Some-college, 10, Never-married, Sales, Own-child, White, Male, 0, 0, 15, United-States, <=50K
48, Private, 349986, Assoc-voc, 11, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
46, Private, 213140, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, ?, >50K
41, Federal-gov, 219155, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, India, >50K
33, Private, 183612, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 20, United-States, <=50K
33, Private, 391114, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, <=50K
47, Private, 219632, 5th-6th, 3, Married-spouse-absent, Machine-op-inspct, Other-relative, White, Male, 0, 0, 40, Mexico, <=50K
46, Self-emp-inc, 320124, HS-grad, 9, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Female, 15024, 0, 40, United-States, >50K
40, Private, 799281, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 38, United-States, <=50K
42, Private, 657397, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Mexico, <=50K
31, State-gov, 373432, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 7298, 0, 55, United-States, >50K
51, Private, 168660, 11th, 7, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
44, Private, 191149, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 57, United-States, <=50K
37, Private, 356824, HS-grad, 9, Separated, Tech-support, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
25, Private, 191782, 11th, 7, Never-married, Machine-op-inspct, Own-child, Black, Female, 0, 0, 40, United-States, <=50K
63, Self-emp-not-inc, 29859, 7th-8th, 4, Married-civ-spouse, Farming-fishing, Husband, White, Male, 7688, 0, 60, United-States, >50K
52, Private, 204226, HS-grad, 9, Divorced, Sales, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
42, Local-gov, 246862, Some-college, 10, Divorced, Tech-support, Not-in-family, White, Female, 3325, 0, 40, United-States, <=50K
28, Private, 496526, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
30, Private, 426431, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 10520, 0, 40, United-States, >50K
34, Private, 84154, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, <=50K
37, Federal-gov, 45937, Assoc-acdm, 12, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, >50K
31, Private, 130021, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 45, United-States, <=50K
35, Private, 63021, Some-college, 10, Divorced, Sales, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
25, Private, 367306, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
38, Private, 65624, HS-grad, 9, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
43, Self-emp-not-inc, 144928, HS-grad, 9, Never-married, Farming-fishing, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K
22, Private, 117747, Some-college, 10, Never-married, Craft-repair, Other-relative, Asian-Pac-Islander, Female, 0, 0, 40, Vietnam, <=50K
18, Private, 266681, 11th, 7, Never-married, Other-service, Own-child, White, Male, 0, 0, 20, United-States, <=50K
26, Private, 152035, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
36, Private, 190023, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 60, United-States, >50K
43, Private, 233130, HS-grad, 9, Divorced, Sales, Not-in-family, White, Male, 0, 0, 20, United-States, <=50K
21, Private, 149637, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K
62, Federal-gov, 224277, Some-college, 10, Widowed, Protective-serv, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
26, Private, 121559, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
54, Self-emp-not-inc, 230951, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
18, Private, 345285, 11th, 7, Never-married, Sales, Own-child, White, Female, 0, 0, 20, United-States, <=50K
65, Self-emp-not-inc, 28367, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 55, United-States, <=50K
41, Private, 320744, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 3325, 0, 50, United-States, <=50K
31, Private, 243773, 9th, 5, Never-married, Other-service, Unmarried, White, Female, 0, 0, 20, United-States, <=50K
56, Private, 151474, 9th, 5, Divorced, Sales, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
50, Private, 135465, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
22, Private, 210781, Bachelors, 13, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 35, United-States, <=50K
36, Local-gov, 359001, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 48, United-States, <=50K
48, Private, 119471, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 0, 40, India, >50K
30, Private, 226396, HS-grad, 9, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 30, United-States, <=50K
35, Private, 283122, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 45, United-States, <=50K
37, Self-emp-not-inc, 326400, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 30, United-States, <=50K
32, ?, 169186, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 5, United-States, <=50K
56, Private, 158752, Masters, 14, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 50, United-States, <=50K
29, ?, 208406, HS-grad, 9, Never-married, ?, Not-in-family, White, Male, 0, 0, 35, United-States, <=50K
41, Private, 96741, Assoc-acdm, 12, Divorced, Sales, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
38, State-gov, 255191, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
34, Private, 177733, 9th, 5, Separated, Machine-op-inspct, Unmarried, White, Female, 0, 0, 35, Dominican-Republic, <=50K
54, State-gov, 137815, 12th, 8, Never-married, Other-service, Own-child, White, Male, 4101, 0, 40, United-States, <=50K
36, ?, 187203, Assoc-voc, 11, Divorced, ?, Own-child, White, Male, 0, 0, 50, United-States, <=50K
42, Private, 168515, Assoc-voc, 11, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
33, Private, 122672, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 50, United-States, <=50K
21, Private, 195199, HS-grad, 9, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 30, United-States, <=50K
69, Local-gov, 179813, 10th, 6, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 10, United-States, <=50K
32, Private, 178623, Assoc-acdm, 12, Never-married, Sales, Not-in-family, Black, Female, 0, 0, 46, Trinadad&Tobago, <=50K
50, Private, 41890, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
40, Private, 373050, 12th, 8, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, ?, <=50K
45, Private, 80430, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
31, Private, 198613, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 35, United-States, <=50K
24, Private, 330571, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 40, United-States, <=50K
28, Private, 209205, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 60, United-States, >50K
21, Private, 132243, Assoc-acdm, 12, Never-married, Other-service, Own-child, White, Female, 0, 0, 5, United-States, <=50K
43, Self-emp-not-inc, 237670, Assoc-voc, 11, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 25, United-States, <=50K
22, Private, 193586, HS-grad, 9, Never-married, Sales, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K
62, Self-emp-not-inc, 197353, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1740, 40, United-States, <=50K
