33, Private, 215596, 9th, 5, Married-civ-spouse, Craft-repair, Husband, Other, Male, 0, 0, 40, Mexico, <=50K.
25, State-gov, 31350, Some-college, 10, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
23, Private, 246965, Some-college, 10, Never-married, Machine-op-inspct, Own-child, Black, Male, 0, 0, 40, United-States, <=50K.
28, Private, 99838, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 38, ?, <=50K.
40, Private, 340797, Some-college, 10, Never-married, Machine-op-inspct, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K.
51, ?, 29937, HS-grad, 9, Widowed, ?, Not-in-family, Amer-Indian-Eskimo, Female, 0, 0, 20, United-States, <=50K.
38, Local-gov, 30056, Some-college, 10, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K.
32, Private, 309903, 10th, 6, Never-married, Other-service, Unmarried, White, Female, 0, 0, 25, United-States, <=50K.
55, State-gov, 256984, Some-college, 10, Married-civ-spouse, Other-service, Husband, Black, Male, 0, 0, 40, United-States, <=50K.
22, Private, 181723, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 30, Germany, <=50K.
37, Private, 101020, Bachelors, 13, Separated, Exec-managerial, Not-in-family, White, Male, 4787, 0, 55, United-States, >50K.
44, Self-emp-not-inc, 106900, Bachelors, 13, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
24, Private, 195770, Some-college, 10, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
49, Private, 102737, Assoc-voc, 11, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
35, Local-gov, 191779, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K.
56, Self-emp-not-inc, 99479, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 5013, 0, 46, United-States, <=50K.
62, Private, 196891, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K.
19, ?, 208066, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 40, United-States, <=50K.
31, Private, 54341, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 45, United-States, <=50K.
21, Private, 140001, Some-college, 10, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 30, United-States, <=50K.
26, Private, 248220, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K.
